year,Re,Com,Ind,Trans,Electric,Total,Road_len,AVG_T,Precipitation,Average retail price of electricity,Personal consumption expenditures, Goods,  Durable goods,   Motor vehicles and parts,   Furnishings and durable household equipment,   Recreational goods and vehicles,   Other durable goods,  Nondurable goods,   Food and beverages purchased for off-premises consumption,   Clothing and footwear,   Gasoline and other energy goods,   Other nondurable goods, Services,  Household consumption expenditures (for services),  Housing and utilities,  Health care,  Transportation services,  Recreation services,  Food services and accommodations,  Financial services and insurance,  Other services, Final consumption expenditures of nonprofit institutions serving households (NPISHs), Gross output of nonprofit institutions, Less: Receipts from sales of goods and services by nonprofit institutions,pop,gdp,PRICE_E,CLACD,CLCCD,CLICD,CLRCD
1960,0,0,0,0,0,0,0,61.21311512,15.6525841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15870,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,60.50936098,13.0475879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16497,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,59.72401877,21.80558248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17072,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,59.23976975,22.32538456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17668,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,60.65203991,15.35406991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18151,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,60.72740784,15.37258092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18585,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,62.6962883,13.73251666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18858,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,61.41133509,20.15987287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19176,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,61.30869618,15.11591713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19394,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,61.76879502,25.6977076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19711,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,62.57060814,22.50454538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20007,0,0,0.63,0.63,0.43,1.31
1971,0,0,0,0,0,0,0,60.55483065,10.6486349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20346,0,0,0.53,0.53,0.47,0.85
