MSN,StateCode,Year,Data
HYCCB,CA,1960,0.0
HYCCB,CA,1961,0.0
HYCCB,CA,1962,0.0
HYCCB,CA,1963,0.0
HYCCB,CA,1964,0.0
HYCCB,CA,1965,0.0
HYCCB,CA,1966,0.0
HYCCB,CA,1967,0.0
HYCCB,CA,1968,0.0
HYCCB,CA,1969,0.0
HYCCB,CA,1970,0.0
HYCCB,CA,1971,0.0
HYCCB,CA,1972,0.0
HYCCB,CA,1973,0.0
HYCCB,CA,1974,0.0
HYCCB,CA,1975,0.0
HYCCB,CA,1976,0.0
HYCCB,CA,1977,0.0
HYCCB,CA,1978,0.0
HYCCB,CA,1979,0.0
HYCCB,CA,1980,0.0
HYCCB,CA,1981,0.0
HYCCB,CA,1982,0.0
HYCCB,CA,1983,0.0
HYCCB,CA,1984,0.0
HYCCB,CA,1985,0.0
HYCCB,CA,1986,0.0
HYCCB,CA,1987,0.0
HYCCB,CA,1988,0.0
HYCCB,CA,1989,0.0
HYCCB,CA,1990,77.23485
HYCCB,CA,1991,77.4873
HYCCB,CA,1992,76.78935
HYCCB,CA,1993,119.40915
HYCCB,CA,1994,40.85136
HYCCB,CA,1995,40.86646
HYCCB,CA,1996,118.74456
HYCCB,CA,1997,54.2821
HYCCB,CA,1998,119.00919
HYCCB,CA,1999,108.01724
HYCCB,CA,2000,81.89363
HYCCB,CA,2001,0.0
HYCCB,CA,2002,0.0
HYCCB,CA,2003,9.36027
HYCCB,CA,2004,0.03407
HYCCB,CA,2005,54.25057
HYCCB,CA,2006,73.34198
HYCCB,CA,2007,132.32472
HYCCB,CA,2008,0.0
HYCCB,CA,2009,3.21758
HYICB,CA,1960,0.66604
HYICB,CA,1961,0.64731
HYICB,CA,1962,6.45601
HYICB,CA,1963,1.23939
HYICB,CA,1964,0.56798
HYICB,CA,1965,0.31192
HYICB,CA,1966,0.0
HYICB,CA,1967,0.0
HYICB,CA,1968,0.0
HYICB,CA,1969,0.0
HYICB,CA,1970,0.06296
HYICB,CA,1971,0.0
HYICB,CA,1972,0.0
HYICB,CA,1973,0.0
HYICB,CA,1974,0.0
HYICB,CA,1975,0.0
HYICB,CA,1976,0.0
HYICB,CA,1977,0.0
HYICB,CA,1978,0.0
HYICB,CA,1979,0.0
HYICB,CA,1980,0.0
HYICB,CA,1981,0.0
HYICB,CA,1982,0.0
HYICB,CA,1983,0.0
HYICB,CA,1984,0.0
HYICB,CA,1985,0.0
HYICB,CA,1986,0.0
HYICB,CA,1987,0.0
HYICB,CA,1988,0.0
HYICB,CA,1989,0.0
HYICB,CA,1990,0.0
HYICB,CA,1991,0.0
HYICB,CA,1992,0.0
HYICB,CA,1993,0.0
HYICB,CA,1994,0.0
HYICB,CA,1995,0.0
HYICB,CA,1996,0.0
HYICB,CA,1997,0.0
HYICB,CA,1998,0.0
HYICB,CA,1999,0.0
HYICB,CA,2000,0.0
HYICB,CA,2001,0.0
HYICB,CA,2002,0.0
HYICB,CA,2003,0.0
HYICB,CA,2004,0.0
HYICB,CA,2005,0.0
HYICB,CA,2006,0.0
HYICB,CA,2007,0.0
HYICB,CA,2008,0.0
HYICB,CA,2009,0.0
