MSN,StateCode,Year,Data
CLCCB,AZ,1960,0.0
CLCCB,AZ,1961,0.0
CLCCB,AZ,1962,0.0
CLCCB,AZ,1963,0.0
CLCCB,AZ,1964,0.0
CLCCB,AZ,1965,0.0
CLCCB,AZ,1966,0.0
CLCCB,AZ,1967,0.0
CLCCB,AZ,1968,0.0
CLCCB,AZ,1969,0.0
CLCCB,AZ,1970,0.0
CLCCB,AZ,1971,0.0
CLCCB,AZ,1972,0.0
CLCCB,AZ,1973,0.0
CLCCB,AZ,1974,0.0
CLCCB,AZ,1975,0.0
CLCCB,AZ,1976,0.0
CLCCB,AZ,1977,0.0
CLCCB,AZ,1978,0.0
CLCCB,AZ,1979,0.0
CLCCB,AZ,1980,0.0
CLCCB,AZ,1981,0.0
CLCCB,AZ,1982,16.59604
CLCCB,AZ,1983,0.0
CLCCB,AZ,1984,16.0301
CLCCB,AZ,1985,15.43484
CLCCB,AZ,1986,0.0
CLCCB,AZ,1987,1.50676
CLCCB,AZ,1988,1.9697
CLCCB,AZ,1989,0.0
CLCCB,AZ,1990,1.95954
CLCCB,AZ,1991,5.14821
CLCCB,AZ,1992,65.08389
CLCCB,AZ,1993,16.69717
CLCCB,AZ,1994,1.93661
CLCCB,AZ,1995,96.12483
CLCCB,AZ,1996,3.1234
CLCCB,AZ,1997,3.3331
CLCCB,AZ,1998,6.56647
CLCCB,AZ,1999,1.08197
CLCCB,AZ,2000,0.50805
CLCCB,AZ,2001,10.65448
CLCCB,AZ,2002,13.26245
CLCCB,AZ,2003,12.79285
CLCCB,AZ,2004,15.58734
CLCCB,AZ,2005,23.61418
CLCCB,AZ,2006,13.88962
CLCCB,AZ,2007,12.99781
CLCCB,AZ,2008,0.0
CLCCB,AZ,2009,0.0
CLCCB,CA,1960,64.01328
CLCCB,CA,1961,54.86162
CLCCB,CA,1962,57.01357
CLCCB,CA,1963,36.10245
CLCCB,CA,1964,67.75401
CLCCB,CA,1965,110.69679
CLCCB,CA,1966,136.86396
CLCCB,CA,1967,127.75365
CLCCB,CA,1968,97.7967
CLCCB,CA,1969,992.98685
CLCCB,CA,1970,1055.23616
CLCCB,CA,1971,35.3506
CLCCB,CA,1972,47.67591
CLCCB,CA,1973,0.0
CLCCB,CA,1974,19.75136
CLCCB,CA,1975,0.0
CLCCB,CA,1976,0.0
CLCCB,CA,1977,0.0
CLCCB,CA,1978,67.52352
CLCCB,CA,1979,66.9165
CLCCB,CA,1980,73.02539
CLCCB,CA,1981,37.76308
CLCCB,CA,1982,38.65506
CLCCB,CA,1983,38.80105
CLCCB,CA,1984,637.341
CLCCB,CA,1985,973.77691
CLCCB,CA,1986,0.0
CLCCB,CA,1987,10.7265
CLCCB,CA,1988,113.31316
CLCCB,CA,1989,194.4192
CLCCB,CA,1990,465.3678
CLCCB,CA,1991,841.15688
CLCCB,CA,1992,3.65234
CLCCB,CA,1993,2700.17793
CLCCB,CA,1994,3281.95074
CLCCB,CA,1995,2692.6211
CLCCB,CA,1996,3627.58961
CLCCB,CA,1997,2232.35953
CLCCB,CA,1998,2426.33481
CLCCB,CA,1999,575.84576
CLCCB,CA,2000,500.25089
CLCCB,CA,2001,0.50317
CLCCB,CA,2002,0.97558
CLCCB,CA,2003,4.6194
CLCCB,CA,2004,168.03082
CLCCB,CA,2005,410.29377
CLCCB,CA,2006,30.18998
CLCCB,CA,2007,0.0
CLCCB,CA,2008,0.0
CLCCB,CA,2009,0.0
CLCCB,NM,1960,392.88432
CLCCB,NM,1961,319.74899
CLCCB,NM,1962,284.82061
CLCCB,NM,1963,198.39189
CLCCB,NM,1964,152.31422
CLCCB,NM,1965,110.6009
CLCCB,NM,1966,68.37268
