MSN,Description,Unit,is
ABICB,aviation gasoline blending components consumed by the industrial sector.,Billion Btu,1
ABICP,aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,1
ARICB,asphalt and road oil consumed by the industrial sector.,Billion Btu,1
ARICD,asphalt and road oil price in the industrial sector.,Dollars per million Btu,1
ARICP,asphalt and road oil consumed by the industrial sector.,Thousand barrels,1
ARICV,asphalt and road oil expenditures in the industrial sector.,Million dollars,1
ARTCB,asphalt and road oil total consumption.,Billion Btu,1
ARTCD,"asphalt and road oil average price, all sectors.",Dollars per million Btu,1
ARTCP,asphalt and road oil total consumption.,Thousand barrels,1
ARTCV,asphalt and road oil total expenditures.,Million dollars,1
ARTXB,asphalt and road oil total end-use consumption.,Billion Btu,1
ARTXD,"asphalt and road oil average price, all end-use sectors.",Dollars per million Btu,1
ARTXP,asphalt and road oil total end-use consumption.,Thousand barrels,1
ARTXV,asphalt and road oil total end-use expenditures.,Million dollars,1
AVACB,aviation gasoline consumed by the transportation sector.,Billion Btu,1
AVACD,aviation gasoline price in the transportation sector.,Dollars per million Btu,1
AVACP,aviation gasoline consumed by the transportation sector.,Thousand barrels,1
AVACV,aviation gasoline expenditures in the transportation sector.,Million dollars,1
AVTCB,aviation gasoline total consumption.,Billion Btu,1
AVTCD,"aviation gasoline average price, all sectors.",Dollars per million Btu,1
AVTCP,aviation gasoline total consumption.,Thousand barrels,1
AVTCV,aviation gasoline total expenditures.,Million dollars,1
AVTXB,aviation gasoline total end-use consumption.,Billion Btu,1
AVTXD,"aviation gasoline average price, all end-use sectors.",Dollars per million Btu,1
AVTXP,aviation gasoline total end-use consumption.,Thousand barrels,1
AVTXV,aviation gasoline total end-use expenditures.,Million dollars,1
CCEXB,coal coke exported from the united states. ,Billion Btu,1
CCEXD,"coal coke exports average price, united states.",Dollars per million Btu,1
CCEXP,coal coke exported from the united states. ,Thousand short tons,1
CCEXV,"coal coke exports expenditures, united states.",Million dollars,1
CCIMB,coal coke imported into the united states.,Billion Btu,1
CCIMD,"coal coke imports average price, united states.",Dollars per million Btu,1
CCIMP,coal coke imported into the united states.,Thousand short tons,1
CCIMV,"coal coke imports expenditures, united states.",Million dollars,1
CCNIB,coal coke net imports into the united states.,Billion Btu,1
CCNIP,coal coke net imports into the united states.,Thousand short tons,1
CCNIV,"coal coke net imports expenditures, united states.",Million dollars,1
CLOSB,coal consumed by the industrial sector excluding refinery fuel.,Billion Btu,1
CLRFB,coal consumed as refinery fuel.,Billion Btu,1
CLXCD,coal average price for all sectors excluding refinery fuel.,Dollars per million Btu,1
CLXCV,coal expenditures for all sectors excluding refinery fuel.,Million dollars,1
